nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.379711322922577666e-04,-1.167249051013785594e-04,-9.895798844092548491e-05,-8.740199031066440418e-05,-7.237903571544144761e-05,-5.827296910601849713e-05,-4.530475306586508386e-05,-3.556994463041717309e-05,-2.679986974779497292e-05,-1.955061454462666450e-05,-1.406044433659251139e-05,-9.740338844440312742e-06,-6.573814694183794081e-06,-4.240216866476205795e-06,-2.595236762089428359e-06,-1.450454472413072284e-06,-7.409793292919471202e-07,-2.951607318362260331e-07,-4.649846529513940892e-08,9.100614166145256449e-08,1.449987315559368836e-07,1.563422121108768107e-07,1.402078514430992891e-07,1.150797798433582283e-07,8.938970078616300772e-08,6.560435423627899033e-08,4.656631868322311179e-08,3.209387691870956634e-08,2.142244235031074470e-08,1.373774587869616389e-08,8.547889567695511092e-09,5.176616639582793448e-09,3.035378532907855612e-09,1.713723044496840066e-09,9.354889285838273274e-10,4.938722509623720808e-10,2.423448376298809054e-10,1.139232041521462969e-10,4.645096051487940291e-11
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.944776843092065510e-04,-1.758759971637277619e-04,-1.427434953644530146e-04,-1.282654143224223105e-04,-1.069383470696475561e-04,-8.901408122422646704e-05,-7.105497981228398887e-05,-5.596605863757534458e-05,-4.215817372184418660e-05,-3.171019678666765599e-05,-2.265898715114671616e-05,-1.581024642442881181e-05,-1.041310122187254173e-05,-6.543158867797044729e-06,-3.861885970255523542e-06,-1.995882886836453707e-06,-7.895564273377401403e-07,-7.925436781022605434e-08,3.025278749900484389e-07,4.893067337111759428e-07,5.136501298228755561e-07,4.834891693439880209e-07,4.058989845061586414e-07,3.298037136723420609e-07,2.539935552437879853e-07,1.872178965519882331e-07,1.329888169244492653e-07,9.136176244804661860e-08,6.137539271183978992e-08,3.976300856865956542e-08,2.546670169319289735e-08,1.577963806650320707e-08,9.306496195728656138e-09,5.429074132208319266e-09,3.046013929403267606e-09,1.626754069639504274e-09,8.429243356769730891e-10,4.225812743318313624e-10,1.866318054387990823e-10,7.418882654925322460e-11
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.722903342349968403e-04,-2.453709944300208764e-04,-2.173966019643771793e-04,-1.982381036679283762e-04,-1.775256600857396132e-04,-1.507571583716704939e-04,-1.274796717411366231e-04,-1.033604306331913509e-04,-8.107589077239089968e-05,-6.209604688397137875e-05,-4.665144660029557459e-05,-3.333162337828824215e-05,-2.275386595564626434e-05,-1.488595575970464459e-05,-8.894307520251456002e-06,-4.734548094822133059e-06,-1.904377580476250118e-06,-7.239984451582410229e-08,9.435536911816113785e-07,1.442452561602732686e-06,1.563152682650384514e-06,1.514801647855703207e-06,1.335174412850878981e-06,1.112047179676592811e-06,8.716957716723732337e-07,6.694821422117686374e-07,4.941746940764123953e-07,3.563872790173108718e-07,2.474460764913962800e-07,1.670404881261761609e-07,1.093569396463694341e-07,7.060745391405556115e-08,4.371646256109272383e-08,2.697703777135050959e-08,1.607371932750032461e-08,9.062029202621397955e-09,5.142686367500492536e-09,2.745511377658405034e-09,1.387618504556180658e-09,6.726086677888364006e-10,2.987634674092110333e-10,1.095971050607654674e-10
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.001731099202431421e-04,-2.864149430675604307e-04,-2.715969664312726617e-04,-2.551969799493582734e-04,-2.207765720372818297e-04,-1.990060333771583219e-04,-1.663887242555696681e-04,-1.368713455622315510e-04,-1.080349934270160672e-04,-8.397052853271498715e-05,-6.185915540384188623e-05,-4.419343481440721248e-05,-2.989282633727047503e-05,-1.824257853294306117e-05,-9.766530417692121754e-06,-3.927501372277952575e-06,1.694983355249275439e-07,2.637637445927032823e-06,4.059535291232738460e-06,4.339035642156176565e-06,4.197658211953428528e-06,3.842911829748871685e-06,3.258179691313868602e-06,2.654868220799089722e-06,2.100733883310189654e-06,1.656172642197484026e-06,1.229098419213893498e-06,8.830743778140747641e-07,6.225383625502909439e-07,4.260883558870443361e-07,2.874448705220769319e-07,1.891260500384024009e-07,1.197959902643879801e-07,7.411317174682469613e-08,4.418647414911502346e-08,2.616340267369638617e-08,1.494558106771155480e-08,8.043828745496565639e-09,4.354413595612233645e-09,2.161117046933706784e-09,1.001062306625436462e-09,4.280640244523305503e-10,1.451712251711886248e-10
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.016083906601900997e-04,-3.047769712557927895e-04,nan,-2.807117732638511197e-04,-2.572229177262483867e-04,-2.253477950680690624e-04,-1.988095776559733617e-04,-1.627410475506894255e-04,-1.328088213341988065e-04,-9.996775328542950340e-05,-7.364720746860107723e-05,-5.040092743600602294e-05,-3.159787494206273915e-05,-1.602936300257354173e-05,-5.641865814798091394e-06,2.896612709344763772e-06,7.654349033607459862e-06,9.994259170079719439e-06,1.124955564607797370e-05,1.104839616126252676e-05,1.022175328002037543e-05,9.010687940665950703e-06,7.383593535577454410e-06,6.115913598968966469e-06,4.960749494474224914e-06,3.767083520781031972e-06,2.816265314933484730e-06,2.076094292798209501e-06,1.466201747436255768e-06,1.029608883919100619e-06,7.016516458263367804e-07,4.667281552183102768e-07,3.049486308944889684e-07,1.898229095479733333e-07,1.176617617749497866e-07,7.100294862050900766e-08,4.105266533074794243e-08,2.300353513046458658e-08,1.254496624158261257e-08,6.388132856465918671e-09,3.191664548882371378e-09,1.449073917672272118e-09,5.813517805455189264e-10,1.771347498513948077e-10
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.686067415607167595e-04,-2.878122738198676334e-04,-2.500737052923982851e-04,-2.575194102166963308e-04,-2.322370948367836010e-04,-2.008110089878434952e-04,-1.691466007172694761e-04,-1.341410189997318842e-04,-9.935459716080557047e-05,-6.790001709900603244e-05,-4.160526337209664573e-05,-1.917748292031895414e-05,-1.704325379530779626e-06,1.142653413733999844e-05,1.951201342443971017e-05,2.568852034660127533e-05,2.658319142650630198e-05,2.704784769021023911e-05,2.552320172362565693e-05,2.259835190744302158e-05,1.992517385905528878e-05,1.590118118272104700e-05,1.333870674934492844e-05,1.051471727828649925e-05,8.101494759023673305e-06,6.075899574256107262e-06,4.591005984790387054e-06,3.271753082782744431e-06,2.317097524878657486e-06,1.608011716725683449e-06,1.075037773148623992e-06,7.185994186362517586e-07,4.558020913011882996e-07,2.873996338530259020e-07,1.755782644803854092e-07,1.048636253587940721e-07,6.135761647011971942e-08,3.364061869051141698e-08,1.818584440301638182e-08,9.095409345907228126e-09,4.453993218573929575e-09,1.912281334192191739e-09,7.129415742679414423e-10,1.699729511776772966e-10
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.787376114777799974e-04,-2.002495905641646281e-04,-2.017813795183895050e-04,-1.759031041028522198e-04,-1.626364672035071840e-04,-1.381104745298989268e-04,-9.753592603788680134e-05,-7.162220290495585769e-05,-3.372912767686225534e-05,-6.196082862299336936e-06,1.651108996233902239e-05,3.770295985220730470e-05,5.078641713866506547e-05,5.901322848109522820e-05,6.151011249924007932e-05,5.997660182421509303e-05,5.671982985778952499e-05,5.269398028870577865e-05,4.610147692177253245e-05,4.047647688732418917e-05,3.441120267818494446e-05,2.768673632986131682e-05,2.149221140297258810e-05,1.604584866785851893e-05,1.254262537512264807e-05,9.458009842496626252e-06,6.926525120398164935e-06,4.975905767750359737e-06,3.461099224644254034e-06,2.417117690234543125e-06,1.639591353584388376e-06,1.060636979829817479e-06,6.793425082833866639e-07,4.289652125619469142e-07,2.533048486564312991e-07,1.513758886057945583e-07,8.631452615336536379e-08,4.769745795807174400e-08,2.501835328742353063e-08,1.235356708246930679e-08,5.890172540608351514e-09,2.408268902662958323e-09,7.758304601473351150e-10,1.094186839908093367e-10
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.464480845398552872e-05,-6.350613664320166844e-06,-6.009877543993224277e-05,-5.413061353034130972e-05,-2.958821588011671257e-05,-6.383183077299939719e-07,1.903009151314688583e-05,4.911572046736114471e-05,7.768327452388112053e-05,9.015958651043679060e-05,1.071290462138413445e-04,1.166043817820036453e-04,1.232882284152099668e-04,1.221884453969116434e-04,1.208906477608687777e-04,1.150898195969364296e-04,1.036631483876241554e-04,9.091191284053212415e-05,7.941532405308008951e-05,6.509241884881154328e-05,5.478947180639827819e-05,4.226497856829172024e-05,3.451420493743953159e-05,2.741732598142797628e-05,1.772233105617214476e-05,1.377534627595308772e-05,1.007168085680309022e-05,7.319217393406029521e-06,4.959146524276865719e-06,3.398335755975349051e-06,2.298454429928793931e-06,1.484916988515510569e-06,9.690858418423344078e-07,5.915319677488993019e-07,3.565844559504453417e-07,2.065067504193111971e-07,1.145785594247204233e-07,6.200388997751547258e-08,3.349798578445625591e-08,1.584422730087651776e-08,7.174845132467263368e-09,2.747366821249272366e-09,7.833296390212962070e-10,-3.921429737306414021e-13
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.861696510537398359e-04,6.118199245169697804e-05,1.623391735462855563e-04,1.437143113605734459e-04,1.807716908480210775e-04,1.638195208063129502e-04,2.070125465911557894e-04,2.102386824432508515e-04,2.324871764330750169e-04,2.475981748987812997e-04,2.520087033913164009e-04,2.397964176727613325e-04,2.281676284496413250e-04,2.166469452506255742e-04,2.050500336817588220e-04,1.816022682495644345e-04,1.604696578653356642e-04,1.368707709304452507e-04,1.171713949576855008e-04,1.007045309352834261e-04,7.648419754553144139e-05,5.893740607717862565e-05,4.690072423324117640e-05,3.753347312043958276e-05,2.613449152402763995e-05,2.054294400273724437e-05,1.376444030031147175e-05,1.028862231302630460e-05,6.848200896594297585e-06,4.656852956175309842e-06,3.067586097873683500e-06,2.031351335164102377e-06,1.290159493945661749e-06,7.932666894308411535e-07,4.761963635849119093e-07,2.765402590464718272e-07,1.522943418604003116e-07,8.004773697877891504e-08,4.057206810555382080e-08,1.902577342876151823e-08,8.474814739819220960e-09,3.033900055779386504e-09,8.208837722272740703e-10,2.709260697845816777e-11
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.129682034250012757e-04,nan,4.858109327725560118e-04,3.903731520954461663e-04,4.374254783774202712e-04,4.569141436646490212e-04,4.298990685525038683e-04,4.452332021252207602e-04,4.660831164526666858e-04,4.111222823692832137e-04,4.228030788970738485e-04,4.126450181212449058e-04,3.868658798882292429e-04,3.477796668663228423e-04,3.129661921717328708e-04,2.741495257019097996e-04,2.432533560934369064e-04,2.058609204641819910e-04,1.704157874862637664e-04,1.338522247912687479e-04,1.158017764546863111e-04,8.274827989662635812e-05,7.210243997252516375e-05,5.147922922687803176e-05,2.867650214931279727e-05,2.262696858570952500e-05,1.815947135279569237e-05,1.364195094553967289e-05,9.268572143043081720e-06,6.070344261856526147e-06,4.115934931620027725e-06,2.650735626195098098e-06,1.647855481621243721e-06,1.019946299005865590e-06,5.972959612124204523e-07,3.433066848495587566e-07,1.922601158273643883e-07,9.661744459822921506e-08,4.818629215605104966e-08,2.275623073274898489e-08,9.720010920130286100e-09,3.762663968187356540e-09,1.456734905327938262e-09,7.562797235132532914e-10
